,0
0,0.1786678
1,0.1786678
2,0.1786678
3,0.1015736
4,0.1015736
5,0.107190944
6,0.15940937
7,0.1786678
8,0.10301403
9,0.10301403
10,0.10301403
11,0.10301403
12,0.10301403
13,0.1786678
14,0.1786678
15,0.1786678
16,0.10301403
17,0.10301403
18,0.10301403
19,0.1786678
20,0.1786678
21,0.1786678
22,0.1015736
23,0.1015736
24,0.1786678
25,0.10449046
26,0.10449046
27,0.1015736
28,0.1015736
29,0.1015736
30,0.10537645
31,0.10872056
32,0.10872056
33,0.10628979
34,0.17805018
35,0.10628979
36,0.10628979
37,0.10628979
38,0.16645011
39,0.3325877
40,0.1786678
41,0.1786678
42,0.34186423
43,0.74712265
44,0.74712265
45,0.12366226
46,0.14679778
47,0.14679778
48,0.1786678
49,0.10614067
50,0.10614067
51,0.2099944
52,0.1786678
53,0.1015736
54,0.1015736
55,0.11017134
56,0.14586726
57,0.754611
58,0.7027079
59,0.10301403
60,0.10301403
61,0.10301403
62,0.1015736
63,0.1015736
64,0.1015736
65,0.1015736
66,0.1015736
67,0.1015736
68,0.1786678
69,0.1015736
70,0.1015736
71,0.11017134
72,0.32986814
73,0.22253853
74,0.1786678
75,0.10628979
76,0.10628979
77,0.1786678
78,0.22669668
79,0.1015736
80,0.1015736
81,0.1015736
82,0.11017134
83,0.10628979
84,0.10628979
85,0.10628979
86,0.10301403
87,0.11187102
88,0.12967385
89,0.14481208
90,0.14481208
91,0.14481208
92,0.3099972
93,0.45602176
94,0.45602176
95,0.6470064
96,0.1015736
97,0.1015736
98,0.1015736
99,0.5621412
100,0.1786678
101,0.1786678
102,0.1786678
103,0.1015736
104,0.1015736
105,0.1015736
106,0.11017134
107,0.1786678
108,0.1786678
109,0.1786678
110,0.74276114
111,0.49625352
112,0.1786678
113,0.47699025
114,0.5464499
115,0.36591575
116,0.10301403
117,0.10301403
118,0.10301403
119,0.14426775
120,0.14426775
121,0.14426775
122,0.14151229
123,0.10301403
124,0.10301403
125,0.10301403
