,0
0,0.050530355
1,0.15439467
2,0.4666753
3,0.0038039994
4,0.0036008768
5,0.03554824
6,0.11067815
7,0.0852517
8,0.0017736288
9,0.0013909533
10,0.0042724395
11,0.004934912
12,0.009953015
13,0.036367573
14,0.0327278
15,0.033450816
16,0.003093213
17,0.003093213
18,0.0032389609
19,0.015187201
20,0.014566649
21,0.16030161
22,0.0071538924
23,0.007170979
24,0.12706196
25,0.013040096
26,0.013040096
27,0.002976303
28,0.0027633824
29,0.0030011656
30,0.013996334
31,0.018511835
32,0.007760528
33,0.008724637
34,0.008312154
35,0.0154779265
36,0.0154779265
37,0.029366536
38,0.06062322
39,0.086244136
40,0.04107652
41,0.052491985
42,0.659583
43,0.67960685
44,0.6654867
45,0.0033038603
46,0.0023394723
47,0.004502046
48,0.23111466
49,0.017479258
50,0.017811721
51,0.012307891
52,0.14427432
53,0.0026834805
54,0.0027908417
55,0.009876055
56,0.1711873
57,0.93423915
58,0.8791728
59,0.0021122794
60,0.0019343771
61,0.0017136518
62,0.06692685
63,0.06104551
64,0.07057082
65,0.010016388
66,0.009223787
67,0.007056588
68,0.2721836
69,0.0036001187
70,0.0037025341
71,0.0073736776
72,0.42022324
73,0.18184306
74,0.3043705
75,0.016863996
76,0.011958332
77,0.1635756
78,0.110067375
79,0.008658684
80,0.008047205
81,0.0151928365
82,0.060329247
83,0.012749047
84,0.014749276
85,0.00966703
86,0.00097434554
87,0.09390657
88,0.019176483
89,0.018368121
90,0.019646993
91,0.029802194
92,0.70042586
93,0.46243608
94,0.49405098
95,0.7253226
96,0.0020594373
97,0.0020594373
98,0.0023626306
99,0.17345805
100,0.12577312
101,0.047467962
102,0.047209524
103,0.0017913543
104,0.0015440285
105,0.0014726185
106,0.0114541715
107,0.039801873
108,0.023862941
109,0.019814666
110,0.42680562
111,0.3777942
112,0.04660144
113,0.2779817
114,0.1700013
115,0.20293169
116,0.002593021
117,0.0023524628
118,0.0023730677
119,0.044171073
120,0.036188435
121,0.023667948
122,0.022154288
123,0.0058139395
124,0.0038039123
125,0.004204024
126,0.8597623
127,0.076093964
128,0.13654387
129,0.15940212
130,0.095255055
131,0.2384289
132,0.003887018
133,0.003810012
134,0.01702961
135,0.63515425
136,0.05255614
137,0.048023164
138,0.8630639
139,0.87816906
140,0.008873845
141,0.006828057
142,0.0068137567
143,0.097151294
144,0.002210811
145,0.00232043
146,0.7463401
147,0.60990757
148,0.0034900282
149,0.0032452294
150,0.0048675835
151,0.10816162
152,0.4964208
153,0.005306967
154,0.00597664
155,0.0075237653
156,0.00083961355
157,0.000846911
158,0.0010959274
159,0.46366045
160,0.6803028
161,0.98298085
162,0.0034528608
163,0.0052900556
164,0.0059675
165,0.16078177
166,0.16979147
167,0.15500072
168,0.074703835
169,0.0043861666
170,0.0008417219
171,0.00083518657
172,0.002456107
173,0.0058477484
174,0.86564577
175,0.0013480097
176,0.0013480097
177,0.001220279
178,0.3006413
179,0.27736476
180,0.5869117
181,0.09647626
182,0.16642812
183,0.16369785
184,0.05256781
185,0.09394885
186,0.094261006
187,0.079438
188,0.17906398
189,0.26750708
190,0.71868855
191,0.75673765
192,0.86362594
193,0.00266655
194,0.0022953039
195,0.0023706057
196,0.0023706057
197,0.04544202
198,0.9524501
199,0.0030826677
200,0.0044066454
201,0.0060948
202,0.10108485
203,0.011525384
204,0.015176835
205,0.017167382
206,0.008651565
207,0.004594873
208,0.0040189456
209,0.009476434
210,0.009428698
211,0.012217935
212,0.05411078
213,0.034924567
